GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klevis Report,default,Main,21,0,0,0,5,0,2,0,2,0
Klevis Report,expressionEvaluator,Token,56,54,12,8,10,11,14,12,8,8
Klevis Report,expressionEvaluator,ExpressionParser,92,327,15,47,19,69,15,35,5,12
Klevis Report,expressionEvaluator,ExpressionEvaluator,17,111,3,15,3,23,3,15,0,3
Klevis Report,expressionEvaluator,TokenType,0,104,0,0,0,11,0,1,0,1
Klevis Report,expressionEvaluator,Tree,34,227,0,24,8,39,2,27,2,15
Klevis Report,expressionEvaluator,ExpressionLexer,211,660,34,65,36,129,33,48,7,19
Klevis Report,UI,ColorButton,62,0,2,0,19,0,7,0,6,0
Klevis Report,UI,FunctionGrapher.new ComponentAdapter() {...},10,0,0,0,3,0,2,0,2,0
Klevis Report,UI,FunctionGrapher.new MouseWheelListener() {...},33,0,2,0,8,0,3,0,2,0
Klevis Report,UI,FunctionGrapher,601,0,32,0,96,0,31,0,15,0
Klevis Report,UI,FunctionGrapher.new MouseMotionAdapter() {...},51,0,2,0,10,0,3,0,2,0
Klevis Report,UI,FunctionGrapher.new MouseAdapter() {...},20,0,2,0,5,0,3,0,2,0
Klevis Report,UI,MainFrame,101,0,0,0,21,0,2,0,2,0
Klevis Report,UI,FunctionTextField,65,0,0,0,14,0,3,0,3,0
Klevis Report,UI,InputPanel,92,0,2,0,22,0,5,0,4,0
Klevis Report,UI,MainFrame.1.new BasicSplitPaneDivider() {...},8,0,0,0,2,0,2,0,2,0
Klevis Report,UI,ButtonPanel,27,0,0,0,6,0,1,0,1,0
Klevis Report,UI,ExpressionWriter,146,0,2,0,34,0,6,0,5,0
Klevis Report,UI,AddButton,69,0,0,0,15,0,3,0,3,0
Klevis Report,UI,RoundedBorder,41,0,0,0,7,0,4,0,4,0
Klevis Report,UI,Menu,189,0,14,0,47,0,16,0,9,0
Klevis Report,UI,RemoveButton,63,0,0,0,15,0,3,0,3,0
Klevis Report,UI,MainFrame.new BasicSplitPaneUI() {...},9,0,0,0,2,0,2,0,2,0
Klevis Report,UI,FunctionTextField.new DocumentListener() {...},21,0,0,0,7,0,4,0,4,0
Klevis Report,data,Expression,65,132,0,0,10,32,4,9,4,9
Klevis Report,data,JSONHashSet,72,0,4,0,18,0,5,0,3,0
Klevis Report,data,Controller,176,0,0,0,57,0,20,0,20,0
